Product,Category,Price,Discount,Promotion,Rating,Reviews,Source
,shirt,₹399,60% off,No promotion,3.9 out of 5 stars,647,Amazon
,shirt,₹449,72% off,No promotion,4.2 out of 5 stars,53,Amazon
,shirt,₹559,63% off,No promotion,4.0 out of 5 stars,581,Amazon
,shirt,"₹1,707.99",57% off,No promotion,3.9 out of 5 stars,103,Amazon
,shirt,"₹1,679",30% off,No promotion,3.7 out of 5 stars,3,Amazon
,shirt,₹599,50% off,No promotion,3.7 out of 5 stars,"5,112",Amazon
,shirt,₹449,78% off,No promotion,3.1 out of 5 stars,46,Amazon
,shirt,₹499,72% off,No promotion,4.0 out of 5 stars,621,Amazon
,shirt,₹499,67% off,No promotion,4.2 out of 5 stars,63,Amazon
,shirt,"₹1,199",40% off,No promotion,1.0 out of 5 stars,1,Amazon
,shirt,₹909,43% off,No promotion,3.9 out of 5 stars,"8,568",Amazon
,shirt,"₹1,299",,No promotion,4.6 out of 5 stars,34,Amazon
,shirt,₹499,75% off,No promotion,4.0 out of 5 stars,644,Amazon
,shirt,₹379,75% off,No promotion,3.9 out of 5 stars,145,Amazon
,shirt,"₹1,309",43% off,No promotion,4.0 out of 5 stars,156,Amazon
,shirt,₹399,64% off,No promotion,3.9 out of 5 stars,"37,011",Amazon
,shirt,₹499,50% off,No promotion,4.0 out of 5 stars,815,Amazon
,shirt,₹499,67% off,No promotion,3.9 out of 5 stars,"1,669",Amazon
,shirt,₹839,Men's Slim Fit Full Sleeve 100% Cotton Slub Casual Everyday Shirt,No promotion,4.1 out of 5 stars,181,Amazon
,shirt,₹989,Men's 100% Cotton Regular Fit Shirt,No promotion,4.1 out of 5 stars,582,Amazon
,shirt,₹499,67% off,No promotion,4.0 out of 5 stars,471,Amazon
,shirt,₹449,85% off,No promotion,4.0 out of 5 stars,222,Amazon
,shirt,₹499,72% off,No promotion,4.4 out of 5 stars,57,Amazon
,shirt,₹418,72% off,No promotion,3.5 out of 5 stars,"2,336",Amazon
,shirt,₹539,64% off,No promotion,4.0 out of 5 stars,291,Amazon
,shirt,"₹1,279",44% off,No promotion,4.1 out of 5 stars,261,Amazon
,shirt,"₹1,400",50% off,No promotion,4.7 out of 5 stars,4,Amazon
,shirt,"₹1,754",35% off,No promotion,4.1 out of 5 stars,147,Amazon
,shirt,₹539,64% off,No promotion,4.1 out of 5 stars,932,Amazon
,shirt,₹398,75% off,No promotion,3.6 out of 5 stars,110,Amazon
,shirt,₹479,76% off,No promotion,4.0 out of 5 stars,385,Amazon
,shirt,"₹1,449",44% off,No promotion,4.4 out of 5 stars,36,Amazon
,shirt,₹469,77% off,No promotion,4.3 out of 5 stars,739,Amazon
,shirt,"₹1,609",30% off,No promotion,4.0 out of 5 stars,734,Amazon
,shirt,₹629,55% off,No promotion,3.6 out of 5 stars,345,Amazon
,shirt,₹549,63% off,No promotion,4.0 out of 5 stars,486,Amazon
