Product_Name,Product_ASIN,Brand,Price,MRP,Discount,Rating,Reviews,Product_Link,Scraped_At
"Lava O3 (Glossy Lavender, 4 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box",B0DFH4F7Y9,Lava,"₹5,899","₹7,199",18% off,3.9 out of 5 stars,795,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjM0MzgzODUwNTk3NjI0OjE3NTc0MjQzMTk6c3BfbXRmOjMwMDM2MjI2MjI1NzAzMjo6MDo6&url=%2FLava-Glossy-Lavender-Fingerprint-Phone-Cover%2Fdp%2FB0DFH4F7Y9%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1757424319%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=AcfjAPmtlR&sp_cr=ZAZ,2025-09-09 18:55:17
Redmi Note 14 Pro+ 5G Titan Black 12GB RAM 512GB Storage| 50 MP Triple Camera with Telephoto | Corning Gorilla Glass Victus 2 | IP 68 | SD 7s Gen 3,B0DQR6DLCD,Redmi,"₹31,999","₹39,999",20% off,3.9 out of 5 stars,132,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjM0MzgzODUwNTk3NjI0OjE3NTc0MjQzMTk6c3BfbXRmOjMwMDYyMjU2MDY5MDgzMjo6MDo6&url=%2FRedmi-Storage-Telephoto-Corning-Gorilla%2Fdp%2FB0DQR6DLCD%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1757424319%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=UdwgZN8oRj&sp_cr=ZAZ,2025-09-09 18:55:17
"Redmi A4 5G (Sparkle Purple, 6GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",B0FBR69B2R,Redmi,"₹10,299","₹12,999",21% off,3.9 out of 5 stars,"6,419",https://www.amazon.in/Redmi-A4-5G-Sparkle-Charging/dp/B0FBR69B2R/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-13,2025-09-09 18:55:17
"POCO M7 5G, Ocean Blue (6GB, 128GB)",B0F135PGDX,POCO,"₹9,498","₹12,999",27% off,4.1 out of 5 stars,260,https://www.amazon.in/POCO-Ocean-Blue-6GB-128GB/dp/B0F135PGDX/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-14,2025-09-09 18:55:17
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display",B0CWPCFSM3,Samsung,"₹28,999","₹45,999",37% off,4.2 out of 5 stars,"2,423",https://www.amazon.in/Samsung-Awesome-Iceblue-Storage-Nightography/dp/B0CWPCFSM3/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-15,2025-09-09 18:55:17
"iQOO Z10 Lite 5G (Cyber Green, 6GB RAM, 128GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*",B0FC5XK9WZ,iQOO,"₹10,999","₹14,999",27% off,4.0 out of 5 stars,"1,849",https://www.amazon.in/iQOO-Dimensity-Processor-Military-Shock-Resistance/dp/B0FC5XK9WZ/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-16,2025-09-09 18:55:17
"Motorola G05 4G (Forest Green, 4GB RAM, 64GB Storage)",B0DSTLPR3C,Motorola,"₹7,323","₹9,999",27% off,3.9 out of 5 stars,230,https://www.amazon.in/Motorola-Forest-Green-64GB-Storage/dp/B0DSTLPR3C/ref=sr_1_17?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-17,2025-09-09 18:55:17
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger",B0DX655V11,Samsung,"₹10,999","₹15,499",29% off,3.9 out of 5 stars,"2,676",https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX655V11/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-18,2025-09-09 18:55:17
"Nokia 105 Classic | Single SIM Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio, Without Charger | Charcoal",B0CJMGTMHS,Nokia,₹999,"₹1,249",20% off,3.8 out of 5 stars,"19,344",https://www.amazon.in/Nokia-Payments-Long-Lasting-Wireless-Charcoal/dp/B0CJMGTMHS/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-19,2025-09-09 18:55:17
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)",B0DHL7YT5S,Samsung,"₹35,898","₹59,999",40% off,4.3 out of 5 stars,716,https://www.amazon.in/Samsung-Galaxy-Smartphone-Graphite-Storage/dp/B0DHL7YT5S/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-20,2025-09-09 18:55:17
